AdmGUIDValue_tab,DarInstitutionCode,DarBasisOfRecord,DarCatalogNumber,DarCollectorNumber,DarCollector,DarRelatedInformation,DarYearCollected,DarContinentOcean,DarCountry,DarStateProvince,DarCounty,DarLocality,DarMinimumElevation,DarMaximumElevation,DarDecimalLatitude,DarDecimalLongitude,DarGeorefMethod,DarCoordinateUncertaintyInMeter,DarIdentifiedBy,DarTypeStatus,DarScientificName,DarKingdom,DarPhylum,DarFamily,DarGenus,DarSpecies,DarSubspecies,DarSpecificEpithet,DarInfraspecificEpithet,DarInfraspecificRank,DarScientificNameAuthor
84c00905-7c73-4589-aedf-e27de4abc23b,NY,PreservedSpecimen,2549623,15123,D. E. Atha,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2917160,2015,North America,United States of America,New York,New York Co.,"Central Park, Pool. Between 101st and 102nd Streets and between 7th and 8th Avenues",17,17,40.7946,-73.9615,GPS,,D. E. Atha,,Nuphar advena (Aiton) W.T.Aiton,Plantae,Magnoliophyta,Nymphaeaceae,Nuphar,advena,,Species,(Aiton) W.T.Aiton,,
049d3ab7-2a5c-49d6-8b6f-b2488b43c229,NY,PreservedSpecimen,2456653,14753,D. E. Atha,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2691881,2014,North America,United States of America,New York,New York Co.,Central Park. Reservoir. Between 95th and 96th Sts and between 5th and 6th Aves,44,44,40.7882,-73.9575,GPS,,D. E. Atha,,Silene vulgaris (Moench) Garcke,Plantae,Magnoliophyta,Caryophyllaceae,Silene,vulgaris,,Species,(Moench) Garcke,,
4a45ac5e-7d71-4900-89f5-fcfb1353bc1a,NY,PreservedSpecimen,2549689,15189,D. E. Atha,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2926594,2015,North America,United States of America,New York,New York Co.,Central Park. Mount. Between 104th and 105th Streets and between 5th and 6th Avenues,26,26,40.7944,-73.9537,GPS,,M. H. Nee,,Cucurbita moschata Duchesne,Plantae,Magnoliophyta,Cucurbitaceae,Cucurbita,moschata,,Species,Duchesne,,
dadc92cb-48ed-440d-a950-1d3a1d3dcdef,NY,PreservedSpecimen,2456336,14536,D. E. Atha,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2643394,2014,North America,United States of America,New York,New York Co.,Central Park. Hallett Nature Sanctuary. Between 60th and 61st St and between 5th and 6th Aves,43,43,40.7667,-73.9754,GPS,50,D. E. Atha,,Ampelopsis glandulosa (Wall.) Momiy.,Plantae,Magnoliophyta,Vitaceae,Ampelopsis,glandulosa,,Species,(Wall.) Momiy.,,
b81af3e8-0c1d-452d-ba29-23a40eb7a185,NY,PreservedSpecimen,2456337,14537,D. E. Atha,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2643395,2014,North America,United States of America,New York,New York Co.,Central Park. Hallett Nature Sanctuary. Between 60th and 61st St and between 5th and 6th Aves,43,43,40.7667,-73.9754,GPS,50,D. E. Atha,,Rubus laciniatus Willd.,Plantae,Magnoliophyta,Rosaceae,Rubus,laciniatus,,Species,Willd.,,
5088d577-d428-4132-8dfc-3c954dbdfce3,NY,PreservedSpecimen,2450007,14537,D. E. Atha,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2666178,2014,North America,United States of America,New York,New York Co.,Central Park. Hallett Nature Sanctuary. Between 60th and 61st St and between 5th and 6th Aves,43,43,40.7667,-73.9754,GPS,50,D. E. Atha,,Rubus laciniatus Willd.,Plantae,Magnoliophyta,Rosaceae,Rubus,laciniatus,,Species,Willd.,,
86f2bb5d-0f3d-45d3-a523-05c69241dfd3,NY,PreservedSpecimen,2456338,14538,D. E. Atha,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2643396,2014,North America,United States of America,New York,New York Co.,Central Park. Hallett Nature Sanctuary. Between 60th and 61st St and between 5th and 6th Aves,43,43,40.7667,-73.9754,GPS,50,D. E. Atha,,Rubus allegheniensis Porter,Plantae,Magnoliophyta,Rosaceae,Rubus,allegheniensis,,Species,Porter,,
3e4df5e5-0da4-447b-8c87-073c95c970f3,NY,PreservedSpecimen,2456341,14541,D. E. Atha,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2643399,2014,North America,United States of America,New York,New York Co.,Central Park. Hallett Nature Sanctuary. Between 60th and 61st St and between 5th and 6th Aves,43,43,40.7667,-73.9754,GPS,50,D. E. Atha,,Carex rosea Willd.,Plantae,Magnoliophyta,Cyperaceae,Carex,rosea,,Species,Willd.,,
0280602f-c2d3-4a7a-a8c1-c2adcd80b4a8,NY,PreservedSpecimen,2456342,14542,D. E. Atha,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2643400,2014,North America,United States of America,New York,New York Co.,Central Park. Hallett Nature Sanctuary. Between 60th and 61st St and between 5th and 6th Aves,43,43,40.7667,-73.9754,GPS,50,D. E. Atha,,Carex plantaginea Lam.,Plantae,Magnoliophyta,Cyperaceae,Carex,plantaginea,,Species,Lam.,,
13a15296-1714-4201-877f-c3b2edb1ec5d,NY,PreservedSpecimen,2456343,14543,D. E. Atha,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2643401,2014,North America,United States of America,New York,New York Co.,Central Park. Hallett Nature Sanctuary. Between 60th and 61st St and between 5th and 6th Aves,43,43,40.7667,-73.9754,GPS,50,D. E. Atha,,Lonicera japonica Thunb.,Plantae,Magnoliophyta,Caprifoliaceae,Lonicera,japonica,,Species,Thunb.,,
